,ID,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV Predicted by linear model
0,0,0.10612,30.0,4.93,0,0.428,6.095,65.1,6.3361,6,300.0,16.6,394.62,12.4,23.76578765384364
1,1,0.34109,0.0,7.38,0,0.493,6.415,40.1,4.7211,5,287.0,19.6,396.9,6.12,25.113260657367153
2,2,12.2472,0.0,18.1,0,0.584,5.8370000000000015,59.7,1.9976,24,666.0,20.2,24.65,15.69,15.056591241780811
3,3,0.22489,12.5,7.87,0,0.524,6.377000000000002,94.3,6.3467,5,311.0,15.2,392.52,20.45,20.63144911685233
4,4,1.8002799999999999,0.0,19.58,0,0.605,5.877000000000002,79.2,2.4259,5,403.0,14.7,227.61,12.14,21.755656707404157
5,5,0.051879999999999996,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247.0,18.5,395.99,12.86,22.55908765967996
6,6,0.32543,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437.0,21.2,396.9,15.39,19.214084068253925
7,7,0.29916,20.0,6.96,0,0.464,5.856,42.1,4.4289999999999985,3,223.0,18.6,388.65,13.0,22.183463862268816
8,8,0.033589999999999995,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252.0,18.3,395.62,1.98,33.63671683020251
9,9,11.9511,0.0,18.1,0,0.659,5.608,100.0,1.2852,24,666.0,20.2,332.09,12.13,18.179175356891434
10,10,0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296.0,16.6,393.23,10.11,25.340922553152453
11,11,1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403.0,14.7,321.02,15.12,21.53429722512207
12,12,0.27957,0.0,9.69,0,0.585,5.926,42.6,2.3817,6,391.0,19.2,396.9,13.59,20.56452971898001
13,13,9.59571,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666.0,20.2,376.11,20.31,18.90730345111465
14,14,1.6566,0.0,19.58,0,0.871,6.122000000000001,97.3,1.618,5,403.0,14.7,372.8,14.1,20.424385005661517
15,15,0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293.0,16.6,396.9,7.6,26.78623309578164
16,16,0.1712,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384.0,20.9,395.67,18.66,17.46411745184455
17,17,0.19186,0.0,7.38,0,0.493,6.431,14.7,5.4159,5,287.0,19.6,393.68,5.08,24.83057575328803
18,18,0.62976,0.0,8.14,0,0.5379999999999999,5.949,61.8,4.7075,4,307.0,21.0,396.9,8.26,19.205433277496102
19,19,4.541919999999998,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666.0,20.2,374.56,7.79,21.69347360648272
20,20,2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403.0,14.7,297.09,11.1,25.48697934019792
21,21,2.01019,0.0,19.58,0,0.605,7.9289999999999985,96.2,2.0459,5,403.0,14.7,369.3,3.7,37.48506051227862
22,22,0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315.0,16.4,392.89,6.57,23.288259947052623
23,23,11.5779,0.0,18.1,0,0.7,5.0360000000000005,97.0,1.77,24,666.0,20.2,396.9,25.68,9.630234866011437
24,24,0.2896,0.0,9.69,0,0.585,5.39,72.9,2.7986,6,391.0,19.2,396.9,21.14,14.244089384403791
25,25,13.5222,0.0,18.1,0,0.631,3.863,100.0,1.5106,24,666.0,20.2,131.42,13.33,6.47009149549822
26,26,7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666.0,20.2,272.21,16.23,17.189230002835718
27,27,0.17331,0.0,9.69,0,0.585,5.707000000000002,54.0,2.3817,6,391.0,19.2,396.9,12.01,19.969791660084844
28,28,0.09512000000000001,0.0,12.83,0,0.4370000000000001,6.2860000000000005,45.0,4.5026,5,398.0,18.7,383.23,8.94,23.845682808395374
29,29,0.0136,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469.0,21.1,396.9,14.8,15.369220582869712
30,30,0.021769999999999998,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348.0,14.7,395.38,3.11,37.34360505629519
31,31,1.19294,0.0,21.89,0,0.624,6.3260000000000005,97.7,2.271,4,437.0,21.2,396.9,12.26,19.187821309096478
32,32,4.26131,0.0,18.1,0,0.77,6.112,81.3,2.5091,24,666.0,20.2,390.74,12.67,18.65174753646277
33,33,0.17171,25.0,5.13,0,0.453,5.966,93.4,6.8185,8,284.0,19.7,378.08,14.44,18.730862164470572
34,34,0.04294,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270.0,18.2,396.9,10.59,26.33994554292854
35,35,0.33983,22.0,5.86,0,0.431,6.108,34.9,8.0555,7,330.0,19.1,390.18,9.16,20.29893946030472
36,36,0.09068,45.0,3.44,0,0.4370000000000001,6.9510000000000005,21.5,6.4798,5,398.0,15.2,377.68,5.1,30.893625784072057
37,37,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242.0,17.8,392.83,4.03,31.146366576298604
38,38,0.5405,20.0,3.97,0,0.575,7.47,52.6,2.872,5,264.0,13.0,390.3,3.16,39.39072909528273
39,39,0.08221,22.0,5.86,0,0.431,6.957000000000002,6.8,8.9067,7,330.0,19.1,386.09,3.53,25.84790154934804
40,40,10.0623,0.0,18.1,0,0.584,6.832999999999998,94.3,2.0882,24,666.0,20.2,81.33,19.69,19.2082783984826
41,41,5.6699800000000025,0.0,18.1,1,0.631,6.683,96.8,1.3567,24,666.0,20.2,375.33,3.73,30.54409532337113
42,42,0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432.0,17.8,388.74,10.45,24.644147694420184
43,43,9.92485,0.0,18.1,0,0.74,6.251,96.6,2.198,24,666.0,20.2,388.52,16.44,18.202207541508283
44,44,5.20177,0.0,18.1,1,0.77,6.127000000000002,83.4,2.7227,24,666.0,20.2,395.43,11.48,21.044841794190113
45,45,0.10084,0.0,10.01,0,0.547,6.715,81.6,2.6775,6,432.0,17.8,395.59,10.16,26.686713683751854
46,46,14.4383,0.0,18.1,0,0.597,6.852,100.0,1.4655,24,666.0,20.2,179.36,19.78,20.533054612262017
47,47,0.40202,0.0,9.9,0,0.544,6.3820000000000014,67.2,3.5325,4,304.0,18.4,395.21,10.36,24.40408607365862
48,48,0.25915,0.0,21.89,0,0.624,5.693,96.0,1.7883,4,437.0,21.2,392.11,17.19,14.736241033772668
49,49,0.88125,0.0,21.89,0,0.624,5.6370000000000005,94.7,1.9799,4,437.0,21.2,396.9,18.34,13.775021456451878
50,50,0.24103000000000002,0.0,7.38,0,0.493,6.082999999999998,43.7,5.4159,5,287.0,19.6,396.9,12.79,19.993708223443885
51,51,0.07886,80.0,4.95,0,0.411,7.148,27.7,5.1167,4,245.0,19.2,396.9,3.56,33.97780962005345
52,52,0.40771,0.0,6.2,1,0.507,6.164,91.3,3.048,8,307.0,17.4,395.24,21.46,24.408524232653036
53,53,45.7461,0.0,18.1,0,0.693,4.519,100.0,1.6582,24,666.0,20.2,88.27,36.98,-3.779295477518126
54,54,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311.0,15.2,386.63,29.93,13.464009642275304
55,55,1.2324700000000002,0.0,8.14,0,0.5379999999999999,6.142,91.7,3.9769,4,307.0,21.0,396.9,18.72,16.963006901526803
56,56,0.14476,0.0,10.01,0,0.547,5.731,65.2,2.7592,6,432.0,17.8,391.5,13.61,20.268036764929768
57,57,4.668830000000002,0.0,18.1,0,0.713,5.976,87.9,2.5806,24,666.0,20.2,10.48,19.01,11.986824244865577
58,58,18.0846,0.0,18.1,0,0.679,6.434,100.0,1.8347,24,666.0,20.2,27.25,29.05,10.9603602596825
59,59,3.83684,0.0,18.1,0,0.77,6.251,91.1,2.2955,24,666.0,20.2,350.65,14.19,18.58871838294324
60,60,0.26363000000000003,0.0,8.56,0,0.52,6.229,91.2,2.5451,5,384.0,20.9,391.23,15.55,20.173621689396853
61,61,0.09849,0.0,25.65,0,0.581,5.879,95.8,2.0063,2,188.0,19.1,379.38,17.58,20.305265661863643
62,62,0.01432,100.0,1.32,0,0.411,6.816,40.5,8.3248,5,256.0,15.1,392.9,3.95,32.39755517085524
63,63,0.1029,30.0,4.93,0,0.428,6.358,52.9,7.0355,6,300.0,16.6,372.75,11.22,24.492406829265704
64,64,1.46336,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403.0,14.7,374.43,1.73,36.19886959119039
65,65,0.1,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329.0,16.1,390.43,4.86,32.90733751637688
66,66,9.513630000000001,0.0,18.1,0,0.713,6.728,94.1,2.4961,24,666.0,20.2,6.68,18.71,15.545400499671757
67,67,0.06899,0.0,25.65,0,0.581,5.87,69.7,2.2577,2,188.0,19.1,389.15,14.37,21.41967275035735
68,68,0.3692,0.0,9.9,0,0.544,6.567,87.3,3.6023,4,304.0,18.4,395.69,9.28,25.557539143539707
69,69,15.5757,0.0,18.1,0,0.58,5.926,71.0,2.9084,24,666.0,20.2,368.74,18.13,17.06848491507433
70,70,8.64476,0.0,18.1,0,0.693,6.193,92.6,1.7912,24,666.0,20.2,396.9,15.17,19.930821143936917
71,71,3.6782199999999996,0.0,18.1,0,0.77,5.362,96.2,2.1036,24,666.0,20.2,380.79,10.19,16.088614933009836
72,72,0.03445,82.5,2.03,0,0.415,6.162000000000001,38.4,6.27,2,348.0,14.7,393.77,7.43,28.102346418877985
73,73,8.792119999999999,0.0,18.1,0,0.584,5.565,70.6,2.0635,24,666.0,20.2,3.65,17.16,13.033585206854323
74,74,0.10793,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384.0,20.9,393.49,13.0,20.92697330363817
75,75,4.4222800000000015,0.0,18.1,0,0.584,6.002999999999999,94.5,2.5403,24,666.0,20.2,331.29,21.32,17.139052103099118
76,76,0.14455,12.5,7.87,0,0.524,6.1720000000000015,96.1,5.9505,5,311.0,15.2,396.9,19.15,20.618441525834168
77,77,0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265.0,15.6,393.37,5.03,31.98717945957366
78,78,1.49632,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403.0,14.7,341.6,13.28,16.708441525386263
79,79,0.09604,40.0,6.41,0,0.447,6.854,42.8,4.2673,4,254.0,17.6,396.9,2.98,33.12875510149476
80,80,0.08664,45.0,3.44,0,0.4370000000000001,7.178,26.3,6.4798,5,398.0,15.2,390.49,2.87,33.01858265007937
81,81,0.0351,95.0,2.68,0,0.4161,7.853,33.2,5.118,4,224.0,14.7,392.78,3.81,42.17134297099141
82,82,0.12932000000000002,0.0,13.92,0,0.4370000000000001,6.678,31.1,5.9604,4,289.0,16.0,396.9,6.27,28.764405615151315
83,83,0.52058,0.0,6.2,1,0.507,6.631,76.5,4.148,8,307.0,17.4,388.45,9.54,29.887189035233725
84,84,1.3547200000000001,0.0,8.14,0,0.5379999999999999,6.072,100.0,4.175,4,307.0,21.0,376.73,13.04,18.18884851230043
85,85,0.51183,0.0,6.2,0,0.507,7.358,71.6,4.148,8,307.0,17.4,390.07,4.73,33.299411519185966
86,86,17.8667,0.0,18.1,0,0.6709999999999999,6.223,100.0,1.3861,24,666.0,20.2,393.74,21.78,17.543943375523867
87,87,0.05425,0.0,4.05,0,0.51,6.315,73.4,3.3175,5,296.0,16.6,395.6,6.29,28.46655255721899
88,88,4.75237,0.0,18.1,0,0.713,6.525,86.5,2.4358,24,666.0,20.2,50.92,18.13,15.795819901529827
89,89,0.6379600000000001,0.0,8.14,0,0.5379999999999999,6.096,84.5,4.4619,4,307.0,21.0,380.02,10.26,19.190443103090047
90,90,11.8123,0.0,18.1,0,0.718,6.824,76.5,1.794,24,666.0,20.2,48.45,22.74,15.714420934969912
91,91,0.21161,0.0,8.56,0,0.52,6.1370000000000005,87.4,2.7147,5,384.0,20.9,394.47,13.44,20.3410721557555
92,92,7.36711,0.0,18.1,0,0.679,6.193,78.1,1.9356,24,666.0,20.2,96.73,21.52,14.35622913302117
93,93,0.10153,0.0,12.83,0,0.4370000000000001,6.279,74.5,4.0522,5,398.0,18.7,373.66,11.97,22.95487110578233
94,94,0.25356,0.0,9.9,0,0.544,5.705,77.7,3.945,4,304.0,18.4,396.42,11.5,19.9232836703465
95,95,0.11504,0.0,2.89,0,0.445,6.1629999999999985,69.6,3.4952,2,276.0,18.0,391.83,11.34,24.75769388797685
96,96,0.04011,80.0,1.52,0,0.404,7.287000000000001,34.1,7.309,2,329.0,12.6,396.9,4.08,36.1320865744969
97,97,0.20745999999999998,0.0,27.74,0,0.609,5.093,98.0,1.8226,4,711.0,20.1,318.43,29.68,3.840712331911476
98,98,0.2909,0.0,21.89,0,0.624,6.174,93.6,1.6119,4,437.0,21.2,388.08,24.16,14.785726528478836
99,99,0.06888,0.0,2.46,0,0.488,6.144,62.2,2.5979,3,193.0,17.8,396.9,9.45,27.41610404341732
100,100,0.19072999999999998,22.0,5.86,0,0.431,6.718,17.5,7.8265,7,330.0,19.1,393.74,6.56,24.873602093592993
101,101,6.96215,0.0,18.1,0,0.7,5.712999999999999,97.0,1.9265,24,666.0,20.2,394.43,17.11,16.54078606049951
102,102,0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243.0,16.8,396.9,5.28,27.767234741439413
103,103,0.10469,40.0,6.41,1,0.447,7.267,49.0,4.7872,4,254.0,17.6,389.25,6.05,35.49843855175813
104,104,4.55587,0.0,18.1,0,0.718,3.5610000000000004,87.9,1.6132,24,666.0,20.2,354.7,7.12,9.136476251937406
